price,accommodates,neighbourhood,bedrooms,beds,bathrooms,review_scores_rating,property_type,room_type,last_scraped
369.0,2,Midtown East,1.0,1.0,1.0,,Apartment,Entire home/apt,2018-03-04
90.0,2,Williamsburg,1.0,1.0,1.0,91.0,Apartment,Private room,2018-03-04
150.0,4,Upper East Side,1.0,2.0,1.0,99.0,Apartment,Entire home/apt,2018-03-04
85.0,1,Washington Heights,1.0,1.0,1.0,94.0,Apartment,Private room,2018-03-04
60.0,2,Bedford-Stuyvesant,1.0,1.0,,95.0,House,Private room,2018-03-04
185.0,1,East Village,0.0,1.0,1.0,93.0,Apartment,Entire home/apt,2018-03-04
125.0,3,Harlem,1.0,3.0,1.0,92.0,Apartment,Entire home/apt,2018-03-04
96.0,2,Williamsburg,1.0,1.0,1.0,95.0,House,Entire home/apt,2018-03-04
89.0,2,Clinton Hill,1.0,1.0,1.0,98.0,Apartment,Private room,2018-03-04
50.0,2,Greenpoint,1.0,1.0,2.0,98.0,Apartment,Private room,2018-03-04
105.0,2,Boerum Hill,1.0,1.0,1.0,95.0,Apartment,Private room,2018-03-04
119.0,2,Williamsburg,1.0,1.0,1.0,97.0,Loft,Private room,2018-03-04
105.0,2,Lower East Side,1.0,1.0,1.0,88.0,Apartment,Entire home/apt,2018-03-04
80.0,2,Williamsburg,1.0,1.0,0.5,86.0,Apartment,Private room,2018-03-04
230.0,2,Hell's Kitchen,1.0,1.0,1.0,97.0,Apartment,Private room,2018-03-04
155.0,2,Upper West Side,1.0,1.0,1.0,95.0,Apartment,Private room,2018-03-04
125.0,2,West Village,0.0,1.0,1.0,91.0,Apartment,Entire home/apt,2018-03-04
77.0,2,Flatlands,3.0,1.0,1.0,,House,Private room,2018-03-04
85.0,2,Clinton Hill,1.0,1.0,1.0,90.0,Apartment,Private room,2018-03-04
125.0,4,Bedford-Stuyvesant,2.0,2.0,1.0,91.0,Apartment,Entire home/apt,2018-03-05
125.0,3,Clinton Hill,1.0,2.0,1.5,96.0,Guest suite,Private room,2018-03-05
275.0,5,Greenpoint,3.0,3.0,1.0,100.0,Apartment,Entire home/apt,2018-03-05
200.0,2,East Village,1.0,1.0,1.0,95.0,Apartment,Entire home/apt,2018-03-04
199.0,3,Williamsburg,2.0,2.0,1.5,100.0,Apartment,Entire home/apt,2018-03-05
160.0,1,East Village,1.0,1.0,1.0,100.0,Apartment,Entire home/apt,2018-03-04
140.0,3,Boerum Hill,2.0,1.0,1.0,90.0,Apartment,Entire home/apt,2018-03-04
140.0,2,Kew Garden Hills,1.0,1.0,1.0,80.0,House,Private room,2018-03-04
115.0,6,Bedford-Stuyvesant,1.0,5.0,1.0,91.0,Apartment,Entire home/apt,2018-03-04
195.0,2,Williamsburg,1.0,1.0,1.0,99.0,Apartment,Entire home/apt,2018-03-05
132.0,2,Upper West Side,0.0,1.0,1.0,100.0,Apartment,Entire home/apt,2018-03-05
78.0,2,Williamsburg,1.0,1.0,1.0,93.0,Apartment,Private room,2018-03-04
